Adresa;Grad;Država;Površina m2;Neto korisni prostor;Korisnik;Namjena;Opis;Kategorija;lat;lng
Ulica sv. Ćirila i Metoda 5;Zagreb;Hrvatska;7.958,63;1996,00;N/A;Stara gradska vjećnica;;Objekti gradske uprave;45.815657;15.973405
Trg Stjepana Radića 1;Zagreb;Hrvatska;14.459,05;7848,00;N/A;Središnja zgrada Gradske uprave;;Objekti gradske uprave;45.801535;15.977208
Trg francuske republike 15;Zagreb;Hrvatska;1.895,35;1331,00;N/A;Područni ured Črnomerec;;Objekti gradske uprave;45.810854;15.954999
Draškovićeva 15;Zagreb;Hrvatska;5.722,94;3845,00;N/A;Područni ured Medvešćak;;Objekti gradske uprave;45.812679;15.983559
Avenija Dubrovnik 12;Zagreb;Hrvatska;4.140,00;2278,00;N/A;Područni ured Novi Zagreb;;Objekti gradske uprave;45.777371;15.975384
Trg Dragutina Domjanića 4;Zagreb;Hrvatska;2.376,05;1144,00;N/A;Područni ured Sesvete;;Objekti gradske uprave;45.82711;16.110567
Sigetje 2;Zagreb;Hrvatska;3.654,10;2114,00;N/A;Područni ured Susedgrad;;Objekti gradske uprave;45.814758;15.874404
Šubićeva 38;Zagreb;Hrvatska;1.800,90;1.132,00;N/A;Upravna zgrada;;Objekti gradske uprave;45.812514;15.995211
Republike Austrije 18;Zagreb;Hrvatska;1.057,63;878,00;N/A;Upravna zgrada;;Objekti gradske uprave;45.811557;15.957016
Švarcova 18;Zagreb;Hrvatska;474,39;;N/A;Upravna zgrada;;Objekti gradske uprave;45.81905;16.004437
Bjelovarska 2;Zagreb;Hrvatska;256,25;207,00;N/A;Upravna zgrada Sesvete;;Objekti gradske uprave;45.82687;16.111168
Jagićeva 31;Zagreb;Hrvatska;900,00;790,00;N/A;N/A;;Objekti gradske uprave;45.8087296;15.9595533
Nova cesta 1;Zagreb;Hrvatska;723,21;703,00;N/A;N/A;;Objekti gradske uprave;45.7994595;15.9559443
Petrova 116;Zagreb;Hrvatska;1.582,70;1040,00;N/A;Područni ured Maksimir;;Objekti gradske uprave;45.819637;16.003812
Zapoljska 1;Zagreb;Hrvatska;4.373,00;2860,29;N/A;Područni ured Pešćenica;;Objekti gradske uprave;45.805952;16.02021
Ulica grada Vukovara 56;Zagreb;Hrvatska;8.496,65;4378,55;N/A;N/A;Ulica grada Vukovara 56-60;Objekti gradske uprave;45.7995708;15.9618678
Ilica 25;Zagreb;Hrvatska;6.446,15;4276,00;N/A;Područni ured Centar;;Objekti gradske uprave;45.813306;15.969244
Ilica 5;Zagreb;Hrvatska;704,92;542,00;N/A;N/A;;Objekti gradske uprave;45.813306;15.969244
Avenija Dubrava 49;Zagreb;Hrvatska;3.455,85;2.129,84;N/A;Područni ured Dubrava;;Objekti gradske uprave;45.828991;16.051794
Park Stara Trešnjevka 1;Zagreb;Hrvatska;5.768,70;3.987,30;N/A;Područni ured Trešnjevka;Park Stara Trešnjevka 1 i 2;Objekti gradske uprave;45.79798;15.949982
Vodnikova 14;Zagreb;Hrvatska;1.775,10;1.402,70;N/A;N/A;;Objekti gradske uprave;45.805496;15.967185
Dukljaninova 3;Zagreb;Hrvatska;540,05;420,00;N/A;N/A;;Objekti gradske uprave;45.810627;15.988143
Vodnikova 12/1;Zagreb;Hrvatska;537,20;371,90;N/A;Integrirani kontakt centar;Vodnikova 12/1 i 12/2;Objekti gradske uprave;45.805502;15.967563
Remetinečki gaj 14;Zagreb;Hrvatska;522,00;;N/A;Gradski ured za katastar i geodetske poslove; Odjel za katastar vodova i prostorne evidencije;;Objekti gradske uprave;45.76862;15.948239
Trg Ivana Kukuljevića 2;Zagreb;Hrvatska;350,92;;N/A;Gradski ured za energetiku, zaštitu okoliša i održivi razvoj, Odjel za održavanje objekta;;Objekti gradske uprave;45.803901;15.895382
Kaptol 27;Zagreb;Hrvatska;336,44;;N/A;Tribina Grada Zagreba;;Objekti gradske uprave;45.815961;15.978644
